Items Vigentes - Automoviles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos Generales de la Póliza,,,,,,Asegurado,,,Detalle del Vehículo,,,,,,,,,,,,,,,Intermediarios,,,,Accesorios y Coberturas,
Cia,Poliza,IDPoliza,Estado Poliza,Vigencia Desde,Vigencia Hasta,Asegurado,Conductor Asignado,Nro Documento,Patente,Marca,Modelo,Año,0 KM,Motor,Chasis,CodReferencia,Procedencia,Combustible,Tipo Uso,Rastreo Satelital,Cobertura,Cobertura Det,Suma Asgurada,Productor,Agente,SubAgente,Ejecutivo,Accesorios,Cob. Adicionales
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI865,FORD,F-100 STD  3.6 F-100 STD  3.6,1986,NO,GSAB33268,108*JGS27468,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI866,FORD,F-100 STD  3.6 F-100 STD  3.6,1988,NO,PA4539074,116*LJA11420,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI867,FORD,F-100 STD  3.6 F-100 STD  3.6,1986,NO,GSAB33289,107*JGS27467,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI868,FORD,F-100 STD  3.6 F-100 STD  3.6,1988,NO,HLAB37478,115*JHL33836,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI870,FORD,F-100 STD  3.6 F-100 STD  3.6,1986,NO,GSAB33262,109*JGS27466,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI871,FORD,CAMION F- 7000 CAMION F- 7000,1986,NO,PA6411301PERKINS6354,263*KB6LGX22679,73011,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI872,MERCEDES BENZ,L  608 D L  608 D,1986,NO,10104935,267*12071285,75001,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI874,FORD,F-100 STD  3.6 F-100 STD  3.6,1986,NO,BRAB21695,101*JGL14619,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI875,CHEVROLET,PICK-UP C10 SILVER 3 VEL PICK-UP C10 SILVER 3 VEL,1987,NO,6005233,113*3005993,12038,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI880,FIAT,DE 230 HP DE 230 HP,1989,NO,695050529,269*NB26773,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI881,MERCEDES BENZ,C L  710-37 C L  710-37,1994,NO,10143107,274*12099383,75002,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI882,MERCEDES BENZ,C L  710-37 C L  710-37,1994,NO,10143224,275*12099541,75002,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI883,MERCEDES BENZ,C L  710-37 C L  710-37,1994,NO,10143166,276*12099542,75002,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI884,MERCEDES BENZ,C L  710-37 C L  710-37,1994,NO,10142843,277*12099386,75002,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI886,MERCEDES BENZ,C L  710-37 C L  710-37,1994,NO,10143480,272*12099553,75002,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI887,FORD,CAMION F- 7000 CAMION F- 7000,1986,NO,PA6491286,266*LGX22680,73011,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI888,FORD,CAMION F- 7000 CAMION F- 7000,1986,NO,PA6491293,265*LGX22884,73011,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI890,MERCEDES BENZ,C L  710-37 C L  710-37,1994,NO,10143072,273*12099378,75002,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI891,FORD,F-100 STD  3.6 F-100 STD  3.6,1986,NO,GRAB22870,102*JGR16366,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TEI892,FORD,RANCHERO RANCHERO,1987,NO,JABA16185,118*JA11129,18070,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TFX660,RENAULT,R 12 TL R 12 TL,1993,NO,5881954,285*L813016272,36002,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TFX661,FORD,FALCON GL D FALCON GL D,1987,NO,AGBA14179,005*KAD2JG07145,18006,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOH336,MERCEDES BENZ,L  608 D L  608 D,1985,NO,10095496,271*11065716,75001,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ894,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1984,NO,3.41912e+013,256*34103400000000,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ895,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1984,NO,10093142,255*64419,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ896,PEUGEOT,PICK-UP 504 G PICK-UP 504 G,1986,NO,556923,098*8008498,32026,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ897,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1984,NO,10093146,258*64418,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ898,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1984,NO,10093143,257*64417,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ901,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1985,NO,10099239,262*12067759,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ903,PEUGEOT,PICK-UP 504 G PICK-UP 504 G,1985,NO,A/D,090*M36282,32026,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ904,PEUGEOT,PICK-UP 504 G PICK-UP 504 G,1985,NO,426015,091*8005369,32026,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ905,FORD,F-100 STD  3.6 F-100 STD  3.6,1985,NO,FTAB18602,093*JFT09091,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ906,MERCEDES BENZ,L 912/42 L 912/42,1980,NO,10051213,010*10063922,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ907,MERCEDES BENZ,L 1114/42 L 1114/42,1984,NO,10093158,259*64439,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ909,DODGE,DP 800 DP 800,1977,NO,6457696,218*788D00693F,46319,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ912,MERCEDES BENZ,L  608 D L  608 D,1977,NO,RPA514360,156*37839111001783,75001,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ913,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1985,NO,10099441,261*67634,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ914,FORD,F-100 STD  3.6 F-100 STD  3.6,1981,NO,AEAD65235,120*JAE60757,18062,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TOJ916,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1981,NO,10071396,270*15055134,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,TYT853,FORD,F-100 STD  D F-100 STD  D,1981,NO,AXAD27182,439*KA1JAT22363,18059,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,UDT354,MERCEDES BENZ,L  608 D L  608 D,1987,NO,3.4093010112e+013,558*37833512076240,75001,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,UOL094,CHEVROLET,814 814,1977,NO,10124348,245*H143826,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,USN970,FORD,F 600 D F 600 D,1967,NO,PA6266144,160*KA5JGJ31381,73019,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,USN972,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1975,NO,10021888,241*15022957,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,USN973,MERCEDES BENZ,L 1114-42/48 L 1114-42/48,1975,NO,3.4191210022e+012,A/D*34103215022956,75010,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,USN975,FORD,F 600 D F 600 D,1967,NO,GJ31380,161*65608,73019,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,USN979,FORD,F 600 D F 600 D,1967,NO,6261775,206*JCT29426,73019,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,UUK958,CHEVROLET,350 D 350 D,1969,NO,350A49090,227*T170901,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,UVK028,FORD,F 600 D F 600 D,1967,NO,79U66227,199*JGJ31376,73019,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,UVK032,CHEVROLET,PICK-UP C10 SILVER 3 VEL PICK-UP C10 SILVER 3 VEL,1977,NO,JPA120463Y,036*F146992,12038,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,UZX928,RENAULT ,12 L ,2015,NO, 2963650,R.P.A.268675,0,,,Comercial,NO,1," RC, ROBO, INCENDIO,DESTRUC. TOTAL",0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,," RC, ROBO, INCENDIO,DESTRUC. TOTAL: $0.00 Tasa: 0.000"
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,WGR039,MERCEDES BENZ,OH 1318/51 OH 1318/51,1989,NO,3.41946e+013,489*35121000000000,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,WHK960,MERCEDES BENZ,OH 1315 OH 1315,1989,NO,A/D,488*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,WKN764,FIAT,147 CL 147 CL,1987,NO,7328330,293*7115643,17079,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,XKU666,RENAULT,TRAFIC T 3101 TRAFIC T 3101,1989,NO,4684088,294*TA12002492,36124,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,XKV007,DODGE,D 100 PICK UP D 100 PICK UP,1977,NO,GSAB33285,049*711MOO194F,46068,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PARANA SEGUROS,3019579,34172342,VIGENTE,13/01/2015,13/01/2016,DORINA VERONICA VIVIER,,23867388,JLA893,RENAULT,SANDERO STEPWAY 1.6 CONFORT,2010,NO,K4MA690Q070131,93YBSRR2PKBJ607004,36578,Nacional,Nafta,Particular,NO,C, Terceros Completo,"110,000",HerrerosAriel,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,3665045,34199307,VIGENTE,01/12/2014,01/12/2015, ALONQUEO HNOS SH,,0,DDX292,NISSAN,PICK-UP 2.7 DX 4X2 S/CAB D,2000,NO,27642701,JN1CHGD22Z0041681,30068,Importado,Diesel,Particular,,C,Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente,"92,000",OrtigozaBeatriz,,,,, Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3665045,34199307,VIGENTE,01/12/2014,01/12/2015, ALONQUEO HNOS SH,,0,DQR158,FORD,FIESTA CLX 1.8 5 P D,2001,NO,RTLY33500,9BFTPZFHAYB33500,,,,Particular,,CMax,Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente,"438,300",OrtigozaBeatriz,,,,, Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3665045,34199307,VIGENTE,01/12/2014,01/12/2015, ALONQUEO HNOS SH,,0,EHG773,FORD,RANGER XL 2.5 TDI SC 4X2 TRUCK,2004,NO,C20148689,8AFDR12F64J337893,,,,Particular,NO,CMax,Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente,"438,300",OrtigozaBeatriz,,,,, Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3665045,34199307,VIGENTE,01/12/2014,01/12/2015, ALONQUEO HNOS SH,,0,EHG773,SIN MARCA,SIN MARCA TRAILER,2005,NO,AFF,30655811849,,,,Particular,,A,Resp.Civil unicamente hasta $3.000.000,"438,300",OrtigozaBeatriz,,,,, Resp.Civil unicamente hasta $3.000.000: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3665045,34199307,VIGENTE,01/12/2014,01/12/2015, ALONQUEO HNOS SH,,0,FYP915,FORD,FIESTA 1.6 5 P AMBIEN. PLUS,2007,NO,CDJC7804,9BFZF16N678046559,18365,Nacional,Nafta,Particular,,CMax,Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente,"83,000",OrtigozaBeatriz,,,,, Resp.Civil-Robo/Incendio Total y Parcial-Danos Totales por Accidente: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3665045,34199307,VIGENTE,01/12/2014,01/12/2015, ALONQUEO HNOS SH,,0,TNO035,FORD,F-100 STD D,1992,NO,MFAE22353,KB1JMF24757,,,,Particular,,C1,Resp.Civil-Robo/Incendio Total y Parcial,"438,300",OrtigozaBeatriz,,,,, Resp.Civil-Robo/Incendio Total y Parcial: $0.00 Tasa: 0.000
ROYAL SUNALLIANCE SEG. ARG. SA,3665045,34199307,VIGENTE,01/12/2014,01/12/2015, ALONQUEO HNOS SH,,0,TYV321,FIAT,DUNA SDV 1.7,1992,NO,146B10003489260,8AS146000100103343,,,,Particular,,B1,Resp.Civil-Robo/Incendio Total,"438,300",OrtigozaBeatriz,,,,, Resp.Civil-Robo/Incendio Total: $0.00 Tasa: 0.000
INTEGRITY SEGUROS,21324,34206680,VIGENTE,18/01/2015,18/01/2016,AURELIO EDUARDO SANCHEZ,,16520127,,HONDA,BIZ 125 ES ,2013,NO,,,0,,,Particular,NO,A,  -  COBERTURA A (RC),0,HBO Broker,,,,,
INTEGRITY SEGUROS,21379,34206681,VIGENTE,10/01/2015,10/01/2016,NOELIA ALFARO,,35829931,692JVB,HONDA,BIZ 125 ES ,2013,NO,,,0,,,Particular,NO,B1,  - COBERTURA B1,0,HBO Broker,,,,,
PARANA SEGUROS,4010312,34246679,VIGENTE,21/01/2015,21/01/2016, LAHITTE & ASOCIADOS S.A.,,0,USD427,FORD ,F-100 STD D,1980,NO,XTAD61569,KA1JYD50554,0,NACIONAL,,Particular,NO,A, Responsabilidad Civil hacia Terceros,0,OrtigozaBeatriz,,,,,
INTEGRITY SEGUROS,21442,34246681,VIGENTE,08/01/2015,08/01/2016,MAURO ARIEL PARIGIANI,,20561736,389KHI,HONDA,XR 125 L ,2014,NO,,,0,,,Particular,NO,A,  -  COBERTURA A (RC),0,HerrerosAriel,,,,,
PARANA SEGUROS,3009068,34246686,VIGENTE,25/01/2015,25/01/2016, JUAN HUMBERTO PIZUTI,,10737928,RWQ,PEUGEOT,504 XSD TF,1994,NO,660706,5336369,0,NACIONAL,,Particular,NO,A, Responsabilidad Civil hacia Terceros,0,OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,19893603,34259294,VIGENTE,01/12/2014,01/12/2015, MARCELINO RODRIGUEZ,,16206139,IEC418,CHERY,TRAILER ,2014,NO,,17031990,,,,Particular,,A4,,0,OrtigozaBeatriz,,,,,
